Starting h400_l2_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Early stopping triggered at epoch 143. Best was epoch 123 with val loss 0.000944.
Best: 0.0009439095794673889


Starting h450_l2_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 01 | Train Loss: 0.048888 | Validation Loss: 0.007504 | LR: 1.00e-03 | Time: 0.32mins
Epoch 02 | Train Loss: 0.004445 | Validation Loss: 0.002729 | LR: 1.00e-03 | Time: 0.32mins
Epoch 03 | Train Loss: 0.002214 | Validation Loss: 0.002013 | LR: 1.00e-03 | Time: 0.32mins
Epoch 04 | Train Loss: 0.001880 | Validation Loss: 0.001851 | LR: 1.00e-03 | Time: 0.32mins
Epoch 05 | Train Loss: 0.001799 | Validation Loss: 0.001811 | LR: 1.00e-03 | Time: 0.32mins
Epoch 06 | Train Loss: 0.001736 | Validation Loss: 0.001748 | LR: 1.00e-03 | Time: 0.32mins
Epoch 07 | Train Loss: 0.001701 | Validation Loss: 0.001736 | LR: 1.00e-03 | Time: 0.32mins
Epoch 08 | Train Loss: 0.001676 | Validation Loss: 0.001731 | LR: 1.00e-03 | Time: 0.32mins
Epoch 09 | Train Loss: 0.001673 | Validation Loss: 0.001640 | LR: 1.00e-03 | Time: 0.33mins
Epoch 10 | Train Loss: 0.001632 | Validation Loss: 0.001666 | LR: 1.00e-03 | Time: 0.32mins
Epoch 11 | Train Loss: 0.001624 | Validation Loss: 0.001632 | LR: 1.00e-03 | Time: 0.32mins
Epoch 12 | Train Loss: 0.001601 | Validation Loss: 0.001579 | LR: 1.00e-03 | Time: 0.32mins
Epoch 13 | Train Loss: 0.001588 | Validation Loss: 0.001592 | LR: 1.00e-03 | Time: 0.32mins
Epoch 14 | Train Loss: 0.001578 | Validation Loss: 0.001600 | LR: 1.00e-03 | Time: 0.32mins
Epoch 15 | Train Loss: 0.001537 | Validation Loss: 0.001546 | LR: 1.00e-03 | Time: 0.32mins
Epoch 16 | Train Loss: 0.001600 | Validation Loss: 0.001517 | LR: 1.00e-03 | Time: 0.32mins
Epoch 17 | Train Loss: 0.001496 | Validation Loss: 0.001509 | LR: 1.00e-03 | Time: 0.32mins
Epoch 18 | Train Loss: 0.001487 | Validation Loss: 0.001518 | LR: 1.00e-03 | Time: 0.32mins
Epoch 19 | Train Loss: 0.001456 | Validation Loss: 0.001453 | LR: 1.00e-03 | Time: 0.32mins
Epoch 20 | Train Loss: 0.001464 | Validation Loss: 0.001582 | LR: 1.00e-03 | Time: 0.32mins
Epoch 21 | Train Loss: 0.001453 | Validation Loss: 0.001447 | LR: 1.00e-03 | Time: 0.32mins
Epoch 22 | Train Loss: 0.001419 | Validation Loss: 0.001486 | LR: 1.00e-03 | Time: 0.32mins
Epoch 23 | Train Loss: 0.001419 | Validation Loss: 0.001467 | LR: 1.00e-03 | Time: 0.32mins
Epoch 24 | Train Loss: 0.001465 | Validation Loss: 0.001452 | LR: 1.00e-03 | Time: 0.32mins
Epoch 25 | Train Loss: 0.001384 | Validation Loss: 0.001589 | LR: 1.00e-03 | Time: 0.32mins
Epoch 26 | Train Loss: 0.001371 | Validation Loss: 0.001376 | LR: 1.00e-03 | Time: 0.32mins
Epoch 27 | Train Loss: 0.001393 | Validation Loss: 0.001401 | LR: 1.00e-03 | Time: 0.32mins
Epoch 28 | Train Loss: 0.001337 | Validation Loss: 0.001346 | LR: 1.00e-03 | Time: 0.32mins
Epoch 29 | Train Loss: 0.001403 | Validation Loss: 0.001476 | LR: 1.00e-03 | Time: 0.33mins
Epoch 30 | Train Loss: 0.001331 | Validation Loss: 0.001314 | LR: 1.00e-03 | Time: 0.32mins
Epoch 31 | Train Loss: 0.001307 | Validation Loss: 0.001399 | LR: 1.00e-03 | Time: 0.32mins
Epoch 32 | Train Loss: 0.001300 | Validation Loss: 0.001422 | LR: 1.00e-03 | Time: 0.32mins
Epoch 33 | Train Loss: 0.001277 | Validation Loss: 0.001489 | LR: 1.00e-03 | Time: 0.32mins
Epoch 34 | Train Loss: 0.001337 | Validation Loss: 0.001336 | LR: 1.00e-03 | Time: 0.32mins
Epoch 35 | Train Loss: 0.001239 | Validation Loss: 0.001310 | LR: 1.00e-03 | Time: 0.32mins
Epoch 36 | Train Loss: 0.001325 | Validation Loss: 0.001249 | LR: 1.00e-03 | Time: 0.32mins
Epoch 37 | Train Loss: 0.001212 | Validation Loss: 0.001311 | LR: 1.00e-03 | Time: 0.32mins
Epoch 38 | Train Loss: 0.001207 | Validation Loss: 0.001599 | LR: 1.00e-03 | Time: 0.32mins
Epoch 39 | Train Loss: 0.001200 | Validation Loss: 0.001254 | LR: 1.00e-03 | Time: 0.32mins
Epoch 40 | Train Loss: 0.001233 | Validation Loss: 0.001237 | LR: 1.00e-03 | Time: 0.32mins
Epoch 41 | Train Loss: 0.001170 | Validation Loss: 0.001238 | LR: 1.00e-03 | Time: 0.32mins
