Starting h200_lr1e-3
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 69 | Train Loss: 0.001350 | Validation Loss: 0.001532 | LR: 1.00e-03 | Time: 0.11mins
Epoch 70 | Train Loss: 0.001344 | Validation Loss: 0.001365 | LR: 1.00e-03 | Time: 0.11mins
Epoch 71 | Train Loss: 0.001298 | Validation Loss: 0.001297 | LR: 1.00e-03 | Time: 0.11mins
Epoch 72 | Train Loss: 0.001273 | Validation Loss: 0.001306 | LR: 1.00e-03 | Time: 0.11mins
Epoch 73 | Train Loss: 0.001274 | Validation Loss: 0.001304 | LR: 1.00e-03 | Time: 0.11mins
Epoch 74 | Train Loss: 0.001286 | Validation Loss: 0.001301 | LR: 1.00e-03 | Time: 0.11mins
Epoch 75 | Train Loss: 0.001283 | Validation Loss: 0.001298 | LR: 1.00e-03 | Time: 0.11mins
Epoch 76 | Train Loss: 0.001249 | Validation Loss: 0.001300 | LR: 1.00e-03 | Time: 0.11mins
Epoch 77 | Train Loss: 0.001261 | Validation Loss: 0.001310 | LR: 1.00e-03 | Time: 0.11mins
Epoch 78 | Train Loss: 0.001186 | Validation Loss: 0.001227 | LR: 5.00e-04 | Time: 0.11mins
Epoch 79 | Train Loss: 0.001172 | Validation Loss: 0.001228 | LR: 5.00e-04 | Time: 0.11mins
Epoch 80 | Train Loss: 0.001173 | Validation Loss: 0.001236 | LR: 5.00e-04 | Time: 0.11mins
Epoch 81 | Train Loss: 0.001163 | Validation Loss: 0.001216 | LR: 5.00e-04 | Time: 0.11mins
Epoch 82 | Train Loss: 0.001166 | Validation Loss: 0.001211 | LR: 5.00e-04 | Time: 0.11mins
Epoch 83 | Train Loss: 0.001160 | Validation Loss: 0.001215 | LR: 5.00e-04 | Time: 0.11mins
Epoch 84 | Train Loss: 0.001153 | Validation Loss: 0.001224 | LR: 5.00e-04 | Time: 0.11mins
Epoch 85 | Train Loss: 0.001150 | Validation Loss: 0.001213 | LR: 5.00e-04 | Time: 0.11mins
Epoch 86 | Train Loss: 0.001161 | Validation Loss: 0.001256 | LR: 5.00e-04 | Time: 0.11mins
Epoch 87 | Train Loss: 0.001145 | Validation Loss: 0.001208 | LR: 5.00e-04 | Time: 0.11mins
Epoch 88 | Train Loss: 0.001176 | Validation Loss: 0.001230 | LR: 5.00e-04 | Time: 0.11mins
Epoch 89 | Train Loss: 0.001149 | Validation Loss: 0.001206 | LR: 5.00e-04 | Time: 0.11mins
Epoch 90 | Train Loss: 0.001137 | Validation Loss: 0.001233 | LR: 5.00e-04 | Time: 0.11mins
Epoch 91 | Train Loss: 0.001129 | Validation Loss: 0.001216 | LR: 5.00e-04 | Time: 0.11mins
Epoch 92 | Train Loss: 0.001129 | Validation Loss: 0.001196 | LR: 5.00e-04 | Time: 0.11mins
Epoch 93 | Train Loss: 0.001118 | Validation Loss: 0.001209 | LR: 5.00e-04 | Time: 0.11mins
Epoch 94 | Train Loss: 0.001116 | Validation Loss: 0.001201 | LR: 5.00e-04 | Time: 0.11mins
Epoch 95 | Train Loss: 0.001111 | Validation Loss: 0.001206 | LR: 5.00e-04 | Time: 0.11mins
Epoch 96 | Train Loss: 0.001111 | Validation Loss: 0.001189 | LR: 5.00e-04 | Time: 0.11mins
Epoch 97 | Train Loss: 0.001097 | Validation Loss: 0.001190 | LR: 5.00e-04 | Time: 0.11mins
Epoch 98 | Train Loss: 0.001095 | Validation Loss: 0.001200 | LR: 5.00e-04 | Time: 0.11mins
Epoch 99 | Train Loss: 0.001090 | Validation Loss: 0.001195 | LR: 5.00e-04 | Time: 0.11mins
Epoch 100 | Train Loss: 0.001091 | Validation Loss: 0.001183 | LR: 5.00e-04 | Time: 0.11mins
Epoch 101 | Train Loss: 0.001088 | Validation Loss: 0.001181 | LR: 5.00e-04 | Time: 0.11mins
Epoch 102 | Train Loss: 0.001081 | Validation Loss: 0.001231 | LR: 5.00e-04 | Time: 0.11mins
Epoch 103 | Train Loss: 0.001080 | Validation Loss: 0.001187 | LR: 5.00e-04 | Time: 0.11mins
Epoch 104 | Train Loss: 0.001080 | Validation Loss: 0.001186 | LR: 5.00e-04 | Time: 0.11mins
Epoch 105 | Train Loss: 0.001062 | Validation Loss: 0.001202 | LR: 5.00e-04 | Time: 0.11mins
Epoch 106 | Train Loss: 0.001069 | Validation Loss: 0.001176 | LR: 5.00e-04 | Time: 0.11mins
Epoch 107 | Train Loss: 0.001062 | Validation Loss: 0.001168 | LR: 5.00e-04 | Time: 0.11mins
Epoch 108 | Train Loss: 0.001066 | Validation Loss: 0.001170 | LR: 5.00e-04 | Time: 0.11mins
Epoch 109 | Train Loss: 0.001061 | Validation Loss: 0.001179 | LR: 5.00e-04 | Time: 0.11mins
Epoch 110 | Train Loss: 0.001053 | Validation Loss: 0.001171 | LR: 5.00e-04 | Time: 0.11mins
Epoch 111 | Train Loss: 0.001044 | Validation Loss: 0.001179 | LR: 5.00e-04 | Time: 0.11mins
Epoch 112 | Train Loss: 0.001040 | Validation Loss: 0.001170 | LR: 5.00e-04 | Time: 0.11mins
Epoch 113 | Train Loss: 0.001047 | Validation Loss: 0.001188 | LR: 5.00e-04 | Time: 0.11mins
Epoch 114 | Train Loss: 0.001016 | Validation Loss: 0.001173 | LR: 2.50e-04 | Time: 0.11mins
Epoch 115 | Train Loss: 0.001009 | Validation Loss: 0.001154 | LR: 2.50e-04 | Time: 0.11mins
Epoch 116 | Train Loss: 0.001005 | Validation Loss: 0.001151 | LR: 2.50e-04 | Time: 0.11mins
Epoch 117 | Train Loss: 0.001005 | Validation Loss: 0.001158 | LR: 2.50e-04 | Time: 0.11mins
Epoch 118 | Train Loss: 0.001003 | Validation Loss: 0.001170 | LR: 2.50e-04 | Time: 0.11mins
Epoch 119 | Train Loss: 0.001001 | Validation Loss: 0.001156 | LR: 2.50e-04 | Time: 0.11mins
Epoch 120 | Train Loss: 0.001002 | Validation Loss: 0.001160 | LR: 2.50e-04 | Time: 0.11mins
Epoch 121 | Train Loss: 0.001004 | Validation Loss: 0.001147 | LR: 2.50e-04 | Time: 0.11mins
Epoch 122 | Train Loss: 0.000996 | Validation Loss: 0.001168 | LR: 2.50e-04 | Time: 0.11mins
Epoch 123 | Train Loss: 0.000996 | Validation Loss: 0.001175 | LR: 2.50e-04 | Time: 0.11mins
Epoch 124 | Train Loss: 0.000995 | Validation Loss: 0.001152 | LR: 2.50e-04 | Time: 0.11mins
Epoch 125 | Train Loss: 0.000993 | Validation Loss: 0.001144 | LR: 2.50e-04 | Time: 0.11mins
Epoch 126 | Train Loss: 0.000990 | Validation Loss: 0.001149 | LR: 2.50e-04 | Time: 0.11mins
Epoch 127 | Train Loss: 0.000985 | Validation Loss: 0.001162 | LR: 2.50e-04 | Time: 0.11mins
Epoch 128 | Train Loss: 0.000986 | Validation Loss: 0.001158 | LR: 2.50e-04 | Time: 0.11mins
Epoch 129 | Train Loss: 0.000985 | Validation Loss: 0.001160 | LR: 2.50e-04 | Time: 0.11mins
Epoch 130 | Train Loss: 0.000985 | Validation Loss: 0.001161 | LR: 2.50e-04 | Time: 0.11mins
Epoch 131 | Train Loss: 0.000980 | Validation Loss: 0.001164 | LR: 2.50e-04 | Time: 0.11mins
Epoch 132 | Train Loss: 0.000966 | Validation Loss: 0.001140 | LR: 1.25e-04 | Time: 0.11mins
Epoch 133 | Train Loss: 0.000963 | Validation Loss: 0.001156 | LR: 1.25e-04 | Time: 0.11mins
Epoch 134 | Train Loss: 0.000962 | Validation Loss: 0.001153 | LR: 1.25e-04 | Time: 0.11mins
Epoch 135 | Train Loss: 0.000962 | Validation Loss: 0.001154 | LR: 1.25e-04 | Time: 0.11mins
Epoch 136 | Train Loss: 0.000959 | Validation Loss: 0.001148 | LR: 1.25e-04 | Time: 0.11mins
Epoch 137 | Train Loss: 0.000959 | Validation Loss: 0.001157 | LR: 1.25e-04 | Time: 0.11mins
Epoch 138 | Train Loss: 0.000960 | Validation Loss: 0.001162 | LR: 1.25e-04 | Time: 0.11mins
Epoch 139 | Train Loss: 0.000951 | Validation Loss: 0.001155 | LR: 6.25e-05 | Time: 0.11mins
Epoch 140 | Train Loss: 0.000949 | Validation Loss: 0.001152 | LR: 6.25e-05 | Time: 0.11mins
Epoch 141 | Train Loss: 0.000949 | Validation Loss: 0.001153 | LR: 6.25e-05 | Time: 0.11mins
Epoch 142 | Train Loss: 0.000948 | Validation Loss: 0.001155 | LR: 6.25e-05 | Time: 0.11mins
Epoch 143 | Train Loss: 0.000948 | Validation Loss: 0.001161 | LR: 6.25e-05 | Time: 0.11mins
Epoch 144 | Train Loss: 0.000948 | Validation Loss: 0.001162 | LR: 6.25e-05 | Time: 0.11mins
Epoch 145 | Train Loss: 0.000943 | Validation Loss: 0.001161 | LR: 3.13e-05 | Time: 0.11mins
Epoch 146 | Train Loss: 0.000942 | Validation Loss: 0.001157 | LR: 3.13e-05 | Time: 0.11mins
Epoch 147 | Train Loss: 0.000941 | Validation Loss: 0.001153 | LR: 3.13e-05 | Time: 0.11mins
Epoch 148 | Train Loss: 0.000941 | Validation Loss: 0.001154 | LR: 3.13e-05 | Time: 0.11mins
Epoch 149 | Train Loss: 0.000941 | Validation Loss: 0.001166 | LR: 3.13e-05 | Time: 0.11mins
Epoch 150 | Train Loss: 0.000941 | Validation Loss: 0.001160 | LR: 3.13e-05 | Time: 0.11mins
Epoch 151 | Train Loss: 0.000939 | Validation Loss: 0.001155 | LR: 1.56e-05 | Time: 0.11mins
Epoch 152 | Train Loss: 0.000938 | Validation Loss: 0.001162 | LR: 1.56e-05 | Time: 0.11mins
Early stopping triggered at epoch 152. Best was epoch 132 with val loss 0.001140.
Best: 0.001140396055036589


Starting h200_l4_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
